Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0266900629514275,0.0373682215528626,0.0414401671660664,0,0,0,0.0599747186219502,1.77017378156563E-05,8.82629017457995E-11,4.93027123446305E-10,2.88229975274139E-05,5.45278550957386E-08,1.74156454854551E-05,0,0,0,0,0,0,package://spider-viz/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider-viz/meshes/base_link.STL,,Spider_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Upper0_Link,0.021476139074384,0.015254727578512,-0.0014907670536348,0,0,0,0.0112993413960727,4.17757958138213E-07,6.32246142390847E-08,-4.83397104885625E-08,1.7602699581182E-06,-7.47401160587861E-10,1.54529235020534E-06,0,0,0,0,0,0,package://spider-viz/meshes/Upper0_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider-viz/meshes/Upper0_Link.STL,,Spider_upperleg_2-2,Origin_Upper0,Axis_Upper0,Upper0,continuous,-0.00245284745286685,-0.0237725392912402,0.0320074126580795,1.5707963267949,0,3.14159265358979,base_link,0,1,0,,,,,,,,,,,,
Lower0_Link,-0.00200000000000073,-0.0121644422551732,0.0152866791815001,0,0,0,0.00511403475106287,3.40097557199021E-06,-4.0355113211309E-22,4.91401358931856E-22,3.28327036320465E-06,1.35078946161002E-07,1.31342634788399E-07,0,0,0,0,0,0,package://spider-viz/meshes/Lower0_Link.STL,0,1,1,1,0,0,0,0,0,0,package://spider-viz/meshes/Lower0_Link.STL,,SLS_leg_lower-3,Origin_Lower0,Axis_Lower0,Lower0,continuous,0.0550943670538193,0.01315,-9.9999999999479E-05,1.57079632679491,-1.5707963267949,0,Upper0_Link,1,0,0,,,,,,,,,,,,
Upper1_Link,0.0213801728228362,0.0152547283369141,0.0014673545578197,0,0,0,0.0112993383446934,4.17757830091756E-07,6.31950953264347E-08,4.92357002610727E-08,1.76026956304799E-06,7.53422005757815E-10,1.54529208399824E-06,0,0,0,0,0,0,package://spider-viz/meshes/Upper1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider-viz/meshes/Upper1_Link.STL,,Spider_upperleg_1-2,Origin_Upper1,Axis_Upper1,Upper1,continuous,-0.0024528474528662,-0.0820568105387026,0.0320074126580794,1.5707963267949,0,3.14159265358979,base_link,0,1,0,,,,,,,,,,,,
Lower1_Link,0.0020000000000001,-0.012164442255174,0.0152866791815,0,0,0,0.00511403475106288,3.40097557199021E-06,-4.11618944416582E-22,5.39851538017933E-22,3.28327036320465E-06,1.35078946161002E-07,1.31342634788399E-07,0,0,0,0,0,0,package://spider-viz/meshes/Lower1_Link.STL,0,1,1,1,0,0,0,0,0,0,package://spider-viz/meshes/Lower1_Link.STL,,SLS_leg_lower-4,Origin_Lower1,Axis_Lower1,Lower1,continuous,0.055,0.0131500000000001,9.99999999997392E-05,1.57079632679491,-1.5707963267949,0,Upper1_Link,1,0,0,,,,,,,,,,,,
Upper2_Link,0.0214745398766555,0.0152547283369141,0.00146735455781985,0,0,0,0.0112993383446934,4.17757830091755E-07,6.31950953264345E-08,4.92357002610657E-08,1.76026956304799E-06,7.53422005758282E-10,1.54529208399824E-06,0,0,0,0,0,0,package://spider-viz/meshes/Upper2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider-viz/meshes/Upper2_Link.STL,,Spider_upperleg_1-1,Origin_Upper2,Axis_Upper2,Upper2,continuous,0.055831423794595,-0.02377253929124,0.0320074126580794,1.5707963267949,0,0,base_link,0,1,0,,,,,,,,,,,,
Lower2_Link,0.00200000000000116,-0.0121644422551723,0.0152866791815003,0,0,0,0.00511403475106288,3.40097557199021E-06,-2.42025679605417E-21,6.79340847722994E-20,3.28327036320465E-06,1.35078946160937E-07,1.31342634788394E-07,0,0,0,0,0,0,package://spider-viz/meshes/Lower2_Link.STL,0,1,1,1,0,0,0,0,0,0,package://spider-viz/meshes/Lower2_Link.STL,,SLS_leg_lower-1,Origin_Lower2,Axis_Lower2,Lower2,continuous,0.0550943670538194,0.0131500000000001,0.000100000000000329,1.57079632679489,-1.5707963267949,0,Upper2_Link,1,0,0,,,,,,,,,,,,
Upper3_Link,0.0214761390743841,0.0152547275785121,-0.00149076705363482,0,0,0,0.0112993413960727,4.17757958138214E-07,6.32246142390847E-08,-4.83397104885701E-08,1.76026995811821E-06,-7.47401160587356E-10,1.54529235020535E-06,0,0,0,0,0,0,package://spider-viz/meshes/Upper3_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider-viz/meshes/Upper3_Link.STL,,Spider_upperleg_2-1,Origin_Upper3,Axis_Upper3,Upper3,continuous,0.0558314237945942,-0.082056810538703,0.0320074126580794,1.5707963267949,0,0,base_link,0,1,0,,,,,,,,,,,,
Lower3_Link,-0.00200000000000015,-0.0121644422551734,0.0152866791814997,0,0,0,0.00511403475106288,3.40097557199022E-06,-1.22157413983963E-21,1.42154197655372E-21,3.28327036320466E-06,1.35078946160937E-07,1.31342634788394E-07,0,0,0,0,0,0,package://spider-viz/meshes/Lower3_Link.STL,0,1,1,1,0,0,0,0,0,0,package://spider-viz/meshes/Lower3_Link.STL,,SLS_leg_lower-2,Origin_Lower3,Axis_Lower3,Lower3,continuous,0.0550943670538194,0.0131500000000001,-0.000100000000001266,1.57079632679489,-1.5707963267949,0,Upper3_Link,1,0,0,,,,,,,,,,,,
